Country,Country Code,Series,Series Code,1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023]
Benin,BEN,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,0,0,0,8842.46762333286,9305.90936713726,9466.28328907364,9869.69402660881,10332.0125100349,10811.5356591124,11279.4729941633,11834.5434501004,12428.368919655,12477.492801202,12788.7646814998,13008.928701836,13338.3634334886,13699.6951083724,14270.7955282075,14893.2659733333,15603.1308626866,16308.4145149624,17314.7377363058,17897.434890215,18632.3906028081,19609.208674031,20613.6608917735,22017.586565705,23222.0029228636,24345.0270896866,25385.9849446452,26437.9589100894,27558.8076679694,28193.2034745665,25703.0340603857,27310.5605387785,28276.6284071836,0
Bolivia,BOL,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,0,0,0,4898.72916736992,5374.48505918753,5679.49998424935,5756.53972804507,5986.25024937373,6706.20970571391,7384.34219579727,7929.06950388285,8489.55352382781,8312.91492627816,8442.65348076058,8146.05700613787,7914.50020191037,8099.85506440603,8773.61737779406,9553.10262514071,11463.2596533198,13128.4094140894,16677.3357725463,17286.6250006846,19606.078430296,23878.719952733,27001.1999293158,30601.2691719851,32971.9176105588,33036.5161947276,33926.0924920862,37439.4325617262,40253.8475794628,40925.3697658525,36541.5545676515,40431.651869593,44106.8329996708,0
Bosnia and Herzegovina,BIH,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,0,0,0,0,0,0,0,0,0,0,0,0,0,12600.9950709533,12905.9783007873,13549.2311699898,14078.1304534883,14968.9750600713,15564.7524312793,16415.2070636755,17398.8361700097,18340.2187759903,17778.5244028319,17927.1457350395,18100.2620794662,17943.3826176623,18364.0846724987,18578.7655104795,19147.1371910377,19744.1402343455,20371.7796369395,21438.3543466286,22062.2900462485,21412.4147975839,22976.095871764,23872.5034035107,0
Bosnia and Herzegovina,BIH,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,0,0,0,0,0,0,0,0,0,0,0,0,0,5616.09592584022,5822.62536550403,6790.52946520285,8556.92809791186,10159.5756201639,11198.5089664631,12886.3953188868,15822.6207996622,19198.0824140853,17682.9536706522,17214.3979749109,18674.2423766184,17217.3654897185,18184.0533090061,18579.09359637,16219.4979171182,16904.0014870733,18132.7099308114,20431.5936715413,20442.3990713651,20282.5602797132,23632.7238672893,24511.8153350928,0
Botswana,BWA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,0,0,0,0,0,0,0,6790.37738342227,7363.46076966054,7542.43993104487,8076.97126281152,7945.97798928274,8590.66065622397,8943.39252091455,9169.15915785804,9842.12457265207,10373.4935514306,10504.4345999497,11036.1185401848,11721.4530915897,12404.0384225416,12813.7923312159,10973.3117368747,12107.0629214907,12935.7449049041,12917.7689073927,14347.3603639496,15161.5952566636,14419.125194118,15452.5038541443,16091.8892212838,16767.8828919863,17275.0531303638,15756.1338636456,17639.6293507647,18659.9151528668,0
Botswana,BWA,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,0,0,0,0,0,0,0,4275.10743988816,4810.16330334897,4894.607925214,5030.9914391017,4795.28344764921,5444.29087140587,5684.57059956519,5507.10306447663,5421.35779251747,7506.26876906947,8823.44925000679,9864.86317685186,9923.35826237561,10530.8577239692,10754.3930738558,10218.8636414923,12666.5171372448,15137.5390760567,13976.276814131,14281.9306720168,15472.5121327822,13566.5538843122,15102.2366190294,16124.3055786131,17076.356107959,16727.1005073704,15040.0260053569,18751.5171840106,20387.4616036515,0
Brazil,BRA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,0,0,0,1119023.44871063,1130702.48477336,1124424.26557676,1179636.09751912,1248508.49389658,1301344.33507428,1326042.47336413,1375453.49620146,1380351.09702512,1386811.80116019,1446626.3087731,1468043.40473471,1512433.32684054,1530110.40320442,1613159.48303492,1671945.43917639,1737942.31531114,1841002.06677941,1929077.77718804,1932355.13295185,2078261.9793188,2163736.81853354,2198648.58353164,2268840.76996922,2280547.45526505,2199767.45583121,2123333.91584117,2157884.39752673,2193697.52752399,2220406.68670153,2141119.74585525,2255257.6233868,2323283.95323132,594771.869690519
